SNO,Observations,mono,lipase,temp,ph0,ph2,ph5,ph7,ph10,ph15,ph20,ph25,ph35,ph40,ph50,ph60
1,25C Min Lipase,0,5.2,25,8.65,8.51,8.49,8.44,8.39,8.37,8.35,8.33,8.3,8.29,8.285,8.28
2,25C Nor Lipase,0,8.2,25,8.65,8.54,8.47,8.43,8.35,8.31,8.29,8.27,8.25,8.24,8.23,8.23
3,25C Max Lipase,0,14.7,25,8.65,8.52,8.42,8.41,8.3,8.28,8.24,8.19,8.17,8.16,8.15,8.15
4,25C Min Lipase,17,5.2,25,8.65,8.53,8.41,8.35,8.31,8.26,8.2,8.15,8.11,8.1,8.09,8.09
5,25C Nor Lipase,17,8.2,25,8.65,8.49,8.32,8.25,8.1,7.98,7.75,7.53,7.4,7.3,7.3,7.2
6,25C Max Lipase,17,14.7,25,8.65,8.45,8.33,8.27,8.21,8.17,8.08,8.01,7.9,7.89,7.86,7.86
7,25C Min Lipase,27,5.2,25,8.65,8.54,8.43,8.33,8.3,8.21,8.13,8.09,8.07,8.06,8.05,8.05
8,25C Nor Lipase,27,8.2,25,8.65,8.43,8.3,8.22,8.14,8.01,7.86,7.49,7.3,7.29,7.28,7.27
9,25C Max Lipase,27,14.7,25,8.65,8.55,8.42,8.36,8.26,8.13,8.01,7.92,7.7,7.68,7.66,7.66
10,25C Min Lipase,48,5.2,25,8.65,8.54,8.49,8.4,8.32,8.3,8.28,8.25,8.23,8.22,8.2,8.2
11,25C Nor Lipase,48,8.2,25,8.65,8.52,8.46,8.4,8.32,8.26,8.11,8.07,8.01,8,7.99,7.99
12,25C Max Lipase,48,14.7,25,8.65,8.51,8.43,8.32,8.19,7.97,7.81,7.69,7.5,7.49,7.46,7.46
13,35C Min Lipase,0,5.2,30,8.65,8.58,8.52,8.47,8.43,8.4,8.39,8.37,8.35,8.34,8.33,8.32
14,35C Nor Lipase,0,8.2,30,8.65,8.57,8.51,8.43,8.39,8.35,8.33,8.3,8.29,8.28,8.27,8.26
15,35C Max Lipase,0,14.7,30,8.65,8.55,8.53,8.48,8.4,8.37,8.3,8.26,8.2,8.19,8.18,8.17
16,35C Min Lipase,17,5.2,30,8.65,8.58,8.5,8.44,8.39,8.33,8.27,8.22,8.17,8.16,8.15,8.14
17,35C Nor Lipase,17,8.2,30,8.65,8.54,8.41,8.29,8.17,8.02,7.83,7.67,7.56,7.56,7.54,7.53
18,35C Max Lipase,17,14.7,30,8.65,8.52,8.46,8.31,8.27,8.2,8.12,8.06,8,7.99,7.98,7.98
19,35C Min Lipase,27,5.2,30,8.65,8.59,8.51,8.46,8.4,8.32,8.27,8.19,8.11,8.09,8.07,8.06
20,35C Nor Lipase,27,8.2,30,8.65,8.51,8.43,8.35,8.27,8.1,7.9,7.71,7.48,7.47,7.42,7.4
21,35C Max Lipase,27,14.7,30,8.65,8.43,8.32,8.25,8.19,8.15,8.05,8,7.93,7.92,7.91,7.91
22,35C Min Lipase,48,5.2,30,8.65,8.57,8.51,8.45,8.4,8.36,8.3,8.29,8.28,8.26,8.25,8.25
23,35C Nor Lipase,48,8.2,30,8.65,8.57,8.47,8.36,8.31,8.24,8.17,8.11,8.1,8,7.98,7.97
24,35C Max Lipase,48,14.7,30,8.65,8.52,8.46,8.38,8.29,8.17,8.02,7.92,7.74,7.72,7.7,7.7
